brand,avg_sentiment,median_sentiment,std_sentiment,avg_vader,avg_textblob,review_count,positive_pct,neutral_pct,negative_pct
American Tourister,0.7612,0.7924,0.1153,0.8786,0.543,124,100.0,0.0,0.0
Nasher Miles,0.7501,0.7924,0.1378,0.8502,0.5643,130,100.0,0.0,0.0
Skybags,0.7081,0.7708,0.1867,0.807,0.5244,108,97.2222,2.7778,0.0
Safari,0.6712,0.7679,0.2502,0.7739,0.4806,117,94.8718,3.4188,1.7094
VIP,0.623,0.7586,0.3406,0.7,0.48,97,89.6907,3.0928,7.2165
Aristocrat,0.503,0.6384,0.3569,0.5822,0.356,104,81.7308,11.5385,6.7308
